timestamp,brightness,exposure,temperature,ptp_status,ptp_servo_status,ptp_offset
1760456504723093,90.167816,248,68,Slave,Locked,413
1760456504824530,90.44614,256,67.937,Slave,Locked,413
1760456504923406,89.93682,256,67.937,Slave,Locked,413
1760456505026133,90.42044,262,67.937,Slave,Locked,413
1760456505124029,90.07543,262,67.937,Slave,Locked,416
1760456505225404,90.795715,266,67.937,Slave,Locked,416
1760456505325049,90.419685,266,68,Slave,Locked,416
1760456505425296,91.33874,268,68,Slave,Locked,416
1760456505526479,91.091835,268,67.937,Slave,Locked,416
1760456505626075,91.82041,270,68,Slave,Locked,416
1760456505723948,91.56981,270,68,Slave,Locked,416
1760456505826424,92.47046,274,67.937,Slave,Locked,416
1760456505924726,92.39889,274,68,Slave,Locked,416
1760456506031084,93.11679,278,68,Slave,Locked,420
1760456506124555,92.986404,278,68,Slave,Locked,420
1760456506225409,93.50681,279,68,Slave,Locked,420
1760456506325499,93.50857,279,68,Slave,Locked,420
1760456506424812,93.850716,276,68,Slave,Locked,420
1760456506525371,93.851715,276,67.937,Slave,Locked,420
1760456506624716,94.00582,269,68,Slave,Locked,420
1760456506723473,93.66716,269,68,Slave,Locked,420
1760456506825923,94.0106,258,68,Slave,Locked,420
1760456506924617,94.05675,258,68,Slave,Locked,420
1760456507031733,94.70739,252,68,Slave,Locked,411
1760456507123883,94.91561,252,68,Slave,Locked,411
1760456507224569,95.28246,252,68,Slave,Locked,411
1760456507326551,95.77153,252,68,Slave,Locked,411
1760456507425280,95.98284,265,68,Slave,Locked,411
1760456507525028,96.643074,265,68,Slave,Locked,411
1760456507623960,96.44288,274,68,Slave,Locked,411
1760456507723317,97.083115,274,68,Slave,Locked,411
1760456507824965,95.63159,284,68,Slave,Locked,411
1760456507923650,95.48568,284,68,Slave,Locked,411
1760456508030164,94.41442,285,68,Slave,Locked,392
1760456508123661,94.02493,285,68,Slave,Locked,392
1760456508226264,93.24143,281,68,Slave,Locked,392
1760456508325490,91.875656,281,68,Slave,Locked,392
1760456508425099,93.33007,274,68,Slave,Locked,392
1760456508525046,93.34941,274,68,Slave,Locked,392
1760456508624704,94.11591,264,68,Slave,Locked,392
1760456508723654,93.89318,264,68,Slave,Locked,392
1760456508826322,95.14509,255,68,Slave,Locked,392
1760456508923606,96.13797,255,68,Slave,Locked,392
1760456509032281,97.05006,249,68,Slave,Locked,391
1760456509124044,97.2383,249,68,Slave,Locked,391
1760456509225056,97.431625,244,68,Slave,Locked,391
1760456509325813,98.357346,244,68,Slave,Locked,391
1760456509425403,98.28184,240,68,Slave,Locked,391
1760456509525769,98.88579,240,68,Slave,Locked,391
1760456509624825,98.10494,236,68,Slave,Locked,391
1760456509724356,98.5065,236,68,Slave,Locked,391
1760456509826585,97.536934,233,68,Slave,Locked,391
1760456509924113,97.79011,233,68,Slave,Locked,391
1760456510029484,97.24782,229,68,Slave,Locked,387
1760456510123183,97.38765,229,68,Slave,Locked,387
1760456510224729,96.80277,227,68,Slave,Locked,387
1760456510325903,97.0658,227,68,Slave,Locked,387
1760456510424740,96.721436,224,68,Slave,Locked,387
1760456510525286,96.887924,224,68,Slave,Locked,387
1760456510625400,96.34818,223,68,Slave,Locked,387
1760456510724656,96.551445,223,68,Slave,Locked,387
